記録の分類_タイプ産地or標本記録or文献記録or疑わしいかどうか,和名,学名,Latitude_assumed,Longitude_assumed,採集年,採集月,日付,都道府県_jp,島_jp,階級,未記載種の可能性が高い_幼体等で同定が困難な場合はno,Genus,Family,Order,個体数,成体の有無,採集者_jp,採集者_en,文献ID,掲載ページ,オリジナル,文献中の和名,文献中で有効とされる学名_文献紹介など、その文献中で有効とされる学名がわからない場合はハイフンを記入してください。,場所（原文ママ）,メモ,記入者,記入日付,出版年
7_疑わしい文献記録,フイリタマヤスデ,Hyleoglomeris stuxbergi,36.7578036,139.5993576,-,-,-,栃木県,本州,species,no,Hyleoglomeris,Glomeridae,Glomerida,-,no,-,-,L00079,62,no,フイリタマヤスデ,Hyleoglomeris stuxbergi,日光,,Ryosuke Kuwahara,2023-XI-14,1959
7_疑わしい文献記録,リュウガオビヤスデ,Epanerchodus isikawai,36.4768582,139.5870461,-,-,-,栃木県,本州,species,no,Epanerchodus,Polydesmidae,Polydesmida,-,no,石川 重治郎,Jûjiro Ishikawa,L01493,564,no,-,Epanerchodus isikawai,"Izuru cave, Kôchi prefecture",同定は疑わしい (桒原 2024: p. 77[L01804]),Ryosuke Kuwahara,2023-VII-12,1960
7_疑わしい文献記録,フイリタマヤスデ,Hyleoglomeris stuxbergi,36.7578036,139.5993576,-,-,-,栃木県,本州,species,no,Hyleoglomeris,Glomeridae,Glomerida,-,no,-,-,L01141,696,no,フイリタマヤスデ,Hyleoglomeris stuxbergi,東照宮境内,,Ryosuke Kuwahara,2023-IV-11,1986
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.727861,139.619917,-,-,-,栃木県,本州,genus,no,Epanerchodus,Polydesmidae,Polydesmida,-,no,-,-,L01141,697,no,オビヤスデ属の1種,Epanerchodus sp.,七里,,Ryosuke Kuwahara,2023-IV-14,1986
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.77868333,139.6128889,-,-,-,栃木県,本州,genus,no,Epanerchodus,Polydesmidae,Polydesmida,-,no,-,-,L01141,697,no,オビヤスデ属の1種,Epanerchodus sp.,霧降,,Ryosuke Kuwahara,2023-IV-14,1986
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.81261812,139.4204108,-,-,-,栃木県,本州,genus,no,Epanerchodus,Polydesmidae,Polydesmida,-,no,-,-,L01141,697,no,オビヤスデ属の1種,Epanerchodus sp.,湯元,,Ryosuke Kuwahara,2023-IV-14,1986
7_疑わしい文献記録,オビヤスデ属の一種,Epanerchodus sp.,36.7499853,139.5861525,-,-,-,栃木県,本州,genus,no,Epanerchodus,Polydesmidae,Polydesmida,-,no,-,-,L01141,697,no,オビヤスデ属の1種,Epanerchodus sp.,東大植物園日光分園,,Ryosuke Kuwahara,2023-IV-14,1986
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,36.7499853,139.5861525,-,-,-,栃木県,本州,species,no,Tokyosoma,Diplomaragnidae,Chordeumatida,-,no,-,-,L01141,698,no,フトケヤスデ,Tokyosoma takakuwai,東大植物園日光分園,村上 (1971)[L00089] は大根島の個体をフトケヤスデ Tokyosoma takakuwai として再記載した．生殖肢の図から判断する限り，これは原記載のフトケヤスデとは異なる種であった．三好 (1959)[L00079]も複数種が含まれる可能性を指摘している．したがって，正しく T. takakuwai の可能性があるのは原記載と三好の記録のみである．ただし，三好の記録は形態の記載や採集データを欠くため，証拠は十分ではない．,Ryosuke Kuwahara,2025-IV-30,1986
7_疑わしい文献記録,ヤマシナヒラタヤスデ,Yamasinaium noduligerum,36.75687275,139.5257936,-,-,-,栃木県,本州,species,yes,Yamasinaium,Andrognathidae,Platydesmida,-,no,-,-,L00079,161,no,ヤマシナヒラタヤスデ,Yamashinaium noduligerum,日光,,Ryosuke Kuwahara,2024-IX-25,1959
7_疑わしい文献記録,シマフジヤスデ,Anaulaciulus quadratus,36.81148394,139.5364807,-,-,-,栃木県,本州,species,no,Anaulaciulus,Julidae,Julida,-,no,-,-,L01141,699,no,シマフジヤスデ,Anaulaciulus quadratus,女峰山,,Ryosuke Kuwahara,2023-V-07,1986
