Lnumber,LID_CSV,LitList_en,LitList_jp,Link
1,L00813,"Abe, S. (1992) [A message to Shinohara Sensei]. Takakuwaia, (24): 23.","阿部 茂 (1992) 篠原先生に贈る言葉. Takakuwaia, (24): 23.",
2,L00941,"Akama, H. (1972) [Myriapods]. Report of the Society for the Study of Animals and Plants, (20): 66–70.","赤間 日吉 (1972) 多足類. 日本大学農獣医学部動植物研究会報, (20): 66–70.",
3,L00940,"Akama, H. and Sato, K. (1972) [Animals in the wind cave]. Report of the Society for the Study of Animals and Plants, (20): 267–274.","赤間 日吉・佐藤 喜美雄 (1972) 風穴の生物. 日本大学農獣医学部動植物研究会報, (20): 267–274.",
4,L01443,"Almeida, T. M., Iniesta, L. F. M., Bouzan, R. S. and de Morais, J. W. (2022) So far from home: first record of <i>Chondromorpha xanthotricha</i> (Diplopoda: Polydesmida: Paradoxosomatidae) in the Brazilian Amazon. Acta Amazonica, 52(4): 323–327.",,https://doi.org/10.1590/1809-4392202103141
5,L01820,"Andrew, L., Snyder, B. A. and VanOtteren, E. G. (2024) First report of the millipede genus <i>Cryptocorypha</i> Attems, 1907 in the Americas (Polydesmida: Pyrgodesmidae). Insecta Mundi, 1096: 1–6.",,
6,L01406,"Antić, D. and Mauriès, J.-P. (2022) Two new species of the previously monospecific genus <i>Guipuzcosoma</i> Vicente & Mauriès, 1980 from Spain, with establishment of Guipuzcosomatidae fam. nov. (Diplopoda: Chordeumatida). Zootaxa, 5093(2): 142–168.",,https://doi.org/10.11646/zootaxa.5093.2.2
7,L01545,"Aoki, J. (1991) Symphyla. p. 80. In: Aoki, J. (ed.) Pictorial keys to soil animals of Japan. Tokai University Press, Tokyo. 405 figs + 201 pp. ISBN-10: 4-486-01156-2.","青木 淳一 (1991) コムカデ綱 Symphyla. p. 80. In: 青木 淳一 (編) 日本産土壌動物検索図説. 東海大学出版会, 神奈川. 405 figs + 201 pp. ISBN-10: 4-486-01156-2.",
8,L00812,"Aoki, J. (1992) [A researcher of insects in the shade]. Takakuwaia, (24): 23.","青木 淳一 (1992) 日陰の虫の研究者. Takakuwaia, (24): 23.",
9,L01549,"Aoki, J. (1999) Arthropoda, Myriapoda, Symphyla. p. 710. In: Aoki, J. (ed.) Pictorial keys to soil animals of Japan. Tokai University Press, Tokyo. 1076 pp. ISBN-10: 4-486-01443-X.","青木 淳一 (1999) 節足動物門多足類コムカデ綱. p. 710. In: 青木 淳一 (編) 日本産土壌動物－分類のための図解検索. 東海大学出版会, 神奈川. 1076 pp. ISBN-10: 4-486-01443-X.",
10,L01061,"Aoki, J. (2015) Arthropoda, Myriapoda, Symphyla. pp. 911–914. In: Aoki, J. (ed.) Pictorial keys to soil animals of Japan. The second edition. Tokai University Press, Kanagawa. XLV + 1969 pp. ISBN-13: 978-4-486-01945-9.","青木 淳一 (2015) 節足動物門多足亜門コムカデ綱 (結合綱). pp. 911–914. In: 青木 淳一 (編) 日本産土壌動物 第二版－分類のための図解検索. 東海大学出版部, 神奈川. XLV + 1969 pp. ISBN-13: 978-4-486-01945-9.",
11,L00718,"Aoki, J. and Harada, H. (1978) Investigations on Soil Fauna of the Bonin Islands. I. Soil Arthropod Communities. Memoirs of the National Science Museum, (11): 91–106.","青木 淳一・原田 洋 (1978) 小笠原諸島の土壌動物相の研究 I. 土壌節足動物の群集構造. 国立科学博物館専報, (11): 91–106.",
12,L00925,"Aoki, R. (1986) [Centipedes and millipedes]. Collecting and breeding, 48(12): 553.","青木 良 (1986) ムカデとヤスデ. 採集と飼育, 48(12): 553.",
13,L01297,"Aoyama, S. and Takanona, T. (1977) [Millipedes and its chemical control test]. [Sanita report], (5): 3–8.","青山 修三・高野名 敏明 (1977) ヤスデとその薬剤防除試験. サニタレポート, (5): 3–8.",
14,L00634,"Arakaki, K. and Taira, J. (2001) Smell components in <i>Chamberlinius hualienensis</i> Wang at the stage of migration. Annual report of Okinawa Prefectural Institute of Health and Environment, (35): 47–49.","新垣 和代・平良 淳誠 (2001) ヤンバルトサカヤスデの群遊期における臭気成分. 沖縄県衛生環境研究所報, (35): 47–49.",
15,L01180,"Aramata, H. (1991) [The world's great illustrated book of natural history, vol. 1 [Bugs]]. Heibonsha, Tokyo.","荒俣 宏 (1991) 世界大博物図鑑 第1巻 [蟲類]. 平凡社, 東京.",
16,L01091,"Arima, T., Tsukamoto, J., Matunaga, T., Takemura, K., Ueno, N., Yoshikuni, K., Shinkawa, N., Enomoto, K. and Nagata, K. (1999 (not 2000)) [An unusual occurrence of <i>Chamberlinius hualienensis</i> on the mainland of Kagoshima Prefecture, Japan - Ecology, habitat distribution survey]. Annual Report of Kagoshima Prefectural Institute for Environmental Research and Public Health, (1): 74–78.","有馬 忠行・塚本 純司・松永 禎史・竹村 薫・上野 伸広・吉國 謙一郎・新川 奈緒美・榎元 磨加・永田 告治 (1999 (not 2000)) 鹿児島県本土で異常発生したヤンバルトサカヤスデ — 生態，生息分布状況調査 —. 鹿児島県環境保健センター所報, (1): 74–78.",
17,L01124,"Arima, T., Tsukamoto, J., Takemura, K., Honda, T., Yoshikuni, K., Ueno, N., Shinkawa, N., Yumata, Y. and Nagata, K. (2000 (not 2001)) Biology of <i>Chamberlinius haulienesis</i>[sic] Wang unusually occurred in the Mainland of Kagoshima prefecture –Investigation of habitation density–. Annual Report of Kagoshima Prefectural Institute for Environmental Research and Public Health, (2): 55–62.","有馬 忠行・塚本 純司・竹村 薫・本田 俊郎・吉國 謙一郎・上野 伸広・新川 奈緒美・湯又 義勝・永田 告治 (2000 (not 2001)) 鹿児島県本土で異常発生したヤンバルトサカヤスデの生態 — 棲息密度調査 —. 鹿児島県環境保健センター所報, (2): 55–62.",
18,L01092,"Arima, T., Tsukamoto, J., Takemura, K. and Nagata, K. (2001 (not 2002)) [Countermeasures against an unusual outbreak of <i>Chamberlinius hualienensis</i> in mainland Kagoshima Prefecture, Japan: Effects of density suppression]. Annual Report of Kagoshima Prefectural Institute for Environmental Research and Public Health, (3): 55–60.","有馬 忠行・塚本 純司・竹村 薫・永田 告治 (2001 (not 2002)) 鹿児島県本土で異常発生したヤンバルトサカヤスデの発生源対策 — 密度抑圧効果 —. 鹿児島県環境保健センター所報, (3): 55–60.",
19,L01715,"Asano, Y. (2022) Discovery and structure of hydroxynitrile lyase and related enzymes in the Aldoxime-nitrile pathway of millipedes. Journal of Japanese Biochemical Society, 94(5): 681–689.","浅野 泰久 (2022) ヤスデ由来のヒドロキシニトリルリアーゼの発見と構造に関する研究. 生化学, 94(5): 681–689.",https://doi.org/10.14952/SEIKAGAKU.2022.940681
20,L00001,"Attems, C. (1898) System der Polydesmiden. I. Theil. Denkschriften der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe, 67: 221–482.",,https://biodiversitylibrary.org/page/27925127
21,L00002,"Attems, C. (1899) System der Polydesmiden, II. Theil. Denkschriften der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe, 68: 251–436.",,https://biodiversitylibrary.org/page/35890675
22,L01251,"Attems, C. (1900) Dr. Brauer's Myriopoden-Ausbeute auf den Seychellen im Jahre 1895. Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 13(2): 133–171.",,https://www.biodiversitylibrary.org/page/10197407
23,L00003,"Attems, C. (1901) Neue Polydesmiden des Hamburger Museums. Mitteilungen aus dem Naturhistorischen Museum in Hamburg, 18: 83–107.",,https://biodiversitylibrary.org/page/29384864
24,L01024,"Attems, C. (1901) Myriopoden. pp. 275–310. In: Horváth, G. (ed.) Zoologische Ergebnisse der dritten asiatischen Forschungsreise des Grafen Eugen Zichy.",,
25,L01211,"Attems, C. (1907) Javanische Myriopoden, gesammelt von Direktor K. Kraepelin im Jahre 1903. Mitteilungen aus dem Naturhistorischen Museum in Hamburg, 77–142.",,https://biodiversitylibrary.org/page/10278476
26,L00004,"Attems, C. (1909) Die Myriopoden der Vega-Expedition. Arkiv för Zoologi, 5(3): 1–84.",,https://biodiversitylibrary.org/page/6392668
27,L00005,"Attems, C. (1914) Die Indo-Australischen Myriopoden. Archiv für Naturgeschichte, 80(4): 1–398.",,https://biodiversitylibrary.org/page/13260451
28,L01785,"Attems, C. (1927) Neue Chilopoden. Zoologischer Anzeiger, 72: 291–305.",,
29,L01632,"Attems, C. (1930) Myriapoda 2. Scolopendromorpha. Das Tierreich, 54: 1–306.",,
30,L01779,"Attems, C. (1931) Die Familie Leptodesmidae und andere Polydesmiden. Zoologica (Stuttgart), (79): 1–149.",,
31,L01418,"Attems, C. (1936) Diplopoda of India. Memoirs of the Indian Museum, 11(4): 133–323.",,
32,L00294,"Attems, C. (1937) Myriapoda 3. Polydesmoidea I. Fam. Strongylosomidae. Das Tierreich, 68: 1–300.",,
33,L01212,"Attems, C. (1938) 14. Myriopoden von Hawai. Proceedings of the Zoological Society of London, (B)108(2): 365–387.",,
34,L01793,"Attems, C. (1938) Die von Dr. C. Dawydoff in französisch Indochina gesammelten Myriopoden. Mémoires du Muséum national d'Histoire naturelle, N. S., 6(2): 187–353.",,https://www.biodiversitylibrary.org/item/277852#page/3
35,L00006,"Attems, C. (1938) Myriapoda 3. Polydesmoidea II. Fam. Leptodesmidae, Platyrhachidae, Oxydesmidae, Gomphodesmidae. Das Tierreich, 69: 1–487.",,
